,videoId,comment
0,TRxMLLuWIhw,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
1,TRxMLLuWIhw,Norengo tarjeta😢
2,TRxMLLuWIhw,Im
3,TRxMLLuWIhw,Amake din
4,TRxMLLuWIhw,1.000.000 missed calls from Samsung
5,TRxMLLuWIhw,Ami ki pabo
6,TRxMLLuWIhw,already subscribed😢
7,TRxMLLuWIhw,I’m subscribed  🪼
8,TRxMLLuWIhw,I REALLY NEED A NEW ONEEE
9,TRxMLLuWIhw,PLZZZZ
10,TRxMLLuWIhw,🎉🎉🎉🎉🎉❤❤❤❤❤
11,TRxMLLuWIhw,🇮🇳🇮🇳🇮🇳
12,TRxMLLuWIhw,Meme😢
13,TRxMLLuWIhw,A
14,TRxMLLuWIhw,I wish to get it 😢 helps for studies ❤
15,TRxMLLuWIhw,Can I get a chance t
16,TRxMLLuWIhw,yo soy de guatemala mrBeast ya estoy  suscrito
17,TRxMLLuWIhw,Inshaallah I will get a Iphone❤
18,TRxMLLuWIhw,"Yo, I hope TikTok’s not gone it’s been pouring. I need friends. and $1 million."
19,SM66GDRyIVY,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
20,SM66GDRyIVY,"Mrbeast I also want to get an iPhone, I have subscribed since 2022, hopefully I will get it"
21,SM66GDRyIVY,The chance to get iPhone is 0.000000000000000000001%😅
22,SM66GDRyIVY,Norengo tarjeta😢
23,SM66GDRyIVY,Im
24,SM66GDRyIVY,Amake din
25,SM66GDRyIVY,1.000.000 missed calls from Samsung
26,SM66GDRyIVY,Ami ki pabo
27,SM66GDRyIVY,already subscribed😢
28,SM66GDRyIVY,I’m subscribed  🪼
29,SM66GDRyIVY,I REALLY NEED A NEW ONEEE
30,SM66GDRyIVY,PLZZZZ
31,SM66GDRyIVY,🎉🎉🎉🎉🎉❤❤❤❤❤
32,SM66GDRyIVY,🇮🇳🇮🇳🇮🇳
33,SM66GDRyIVY,Meme😢
34,SM66GDRyIVY,A
35,SM66GDRyIVY,I wish to get it 😢 helps for studies ❤
36,SM66GDRyIVY,Can I get a chance t
37,SM66GDRyIVY,yo soy de guatemala mrBeast ya estoy  suscrito
38,SM66GDRyIVY,Inshaallah I will get a Iphone❤
39,EvqtfK_RaRg,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
40,EvqtfK_RaRg,"Mrbeast I also want to get an iPhone, I have subscribed since 2022, hopefully I will get it"
41,EvqtfK_RaRg,The chance to get iPhone is 0.000000000000000000001%😅
42,EvqtfK_RaRg,Norengo tarjeta😢
43,EvqtfK_RaRg,Im
44,EvqtfK_RaRg,Amake din
45,EvqtfK_RaRg,1.000.000 missed calls from Samsung
46,EvqtfK_RaRg,Ami ki pabo
47,EvqtfK_RaRg,already subscribed😢
48,EvqtfK_RaRg,I’m subscribed  🪼
49,EvqtfK_RaRg,I REALLY NEED A NEW ONEEE
50,EvqtfK_RaRg,PLZZZZ
51,EvqtfK_RaRg,🎉🎉🎉🎉🎉❤❤❤❤❤
52,EvqtfK_RaRg,🇮🇳🇮🇳🇮🇳
53,EvqtfK_RaRg,Meme😢
54,EvqtfK_RaRg,A
55,EvqtfK_RaRg,I wish to get it 😢 helps for studies ❤
56,EvqtfK_RaRg,Can I get a chance t
57,EvqtfK_RaRg,yo soy de guatemala mrBeast ya estoy  suscrito
58,EvqtfK_RaRg,Inshaallah I will get a Iphone❤
59,3cWm9B_0_kI,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
60,3cWm9B_0_kI,Norengo tarjeta😢
61,3cWm9B_0_kI,Im
62,3cWm9B_0_kI,Amake din
63,3cWm9B_0_kI,1.000.000 missed calls from Samsung
64,3cWm9B_0_kI,Ami ki pabo
65,3cWm9B_0_kI,already subscribed😢
66,3cWm9B_0_kI,I’m subscribed  🪼
67,3cWm9B_0_kI,I REALLY NEED A NEW ONEEE
68,3cWm9B_0_kI,PLZZZZ
69,3cWm9B_0_kI,🎉🎉🎉🎉🎉❤❤❤❤❤
70,3cWm9B_0_kI,🇮🇳🇮🇳🇮🇳
71,3cWm9B_0_kI,Meme😢
72,3cWm9B_0_kI,A
73,3cWm9B_0_kI,I wish to get it 😢 helps for studies ❤
74,3cWm9B_0_kI,Can I get a chance t
75,3cWm9B_0_kI,yo soy de guatemala mrBeast ya estoy  suscrito
76,3cWm9B_0_kI,Inshaallah I will get a Iphone❤
77,3cWm9B_0_kI,"Yo, I hope TikTok’s not gone it’s been pouring. I need friends. and $1 million."
78,qtWqHIx8Z-o,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
79,qtWqHIx8Z-o,Norengo tarjeta😢
80,qtWqHIx8Z-o,Im
81,qtWqHIx8Z-o,Amake din
82,qtWqHIx8Z-o,1.000.000 missed calls from Samsung
83,qtWqHIx8Z-o,Ami ki pabo
84,qtWqHIx8Z-o,already subscribed😢
85,qtWqHIx8Z-o,I’m subscribed  🪼
86,qtWqHIx8Z-o,I REALLY NEED A NEW ONEEE
87,qtWqHIx8Z-o,PLZZZZ
88,qtWqHIx8Z-o,🎉🎉🎉🎉🎉❤❤❤❤❤
89,qtWqHIx8Z-o,🇮🇳🇮🇳🇮🇳
90,qtWqHIx8Z-o,Meme😢
91,qtWqHIx8Z-o,A
92,qtWqHIx8Z-o,I wish to get it 😢 helps for studies ❤
93,qtWqHIx8Z-o,Can I get a chance t
94,qtWqHIx8Z-o,yo soy de guatemala mrBeast ya estoy  suscrito
95,qtWqHIx8Z-o,Inshaallah I will get a Iphone❤
96,qtWqHIx8Z-o,"Yo, I hope TikTok’s not gone it’s been pouring. I need friends. and $1 million."
97,gs8qfL9PNac,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
98,gs8qfL9PNac,Norengo tarjeta😢
99,gs8qfL9PNac,Im
100,gs8qfL9PNac,Amake din
101,gs8qfL9PNac,1.000.000 missed calls from Samsung
102,gs8qfL9PNac,Ami ki pabo
103,gs8qfL9PNac,already subscribed😢
104,gs8qfL9PNac,I’m subscribed  🪼
105,gs8qfL9PNac,I REALLY NEED A NEW ONEEE
106,gs8qfL9PNac,PLZZZZ
107,gs8qfL9PNac,🎉🎉🎉🎉🎉❤❤❤❤❤
108,gs8qfL9PNac,🇮🇳🇮🇳🇮🇳
109,gs8qfL9PNac,Meme😢
110,gs8qfL9PNac,A
111,gs8qfL9PNac,I wish to get it 😢 helps for studies ❤
112,gs8qfL9PNac,Can I get a chance t
113,gs8qfL9PNac,yo soy de guatemala mrBeast ya estoy  suscrito
114,gs8qfL9PNac,Inshaallah I will get a Iphone❤
115,gs8qfL9PNac,"Yo, I hope TikTok’s not gone it’s been pouring. I need friends. and $1 million."
116,Fa2fBRhy1jM,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
117,Fa2fBRhy1jM,"Mrbeast I also want to get an iPhone, I have subscribed since 2022, hopefully I will get it"
118,Fa2fBRhy1jM,The chance to get iPhone is 0.000000000000000000001%😅
119,Fa2fBRhy1jM,Norengo tarjeta😢
120,Fa2fBRhy1jM,Im
121,Fa2fBRhy1jM,Amake din
122,Fa2fBRhy1jM,1.000.000 missed calls from Samsung
123,Fa2fBRhy1jM,Ami ki pabo
124,Fa2fBRhy1jM,already subscribed😢
125,Fa2fBRhy1jM,I’m subscribed  🪼
126,Fa2fBRhy1jM,I REALLY NEED A NEW ONEEE
127,Fa2fBRhy1jM,PLZZZZ
128,Fa2fBRhy1jM,🎉🎉🎉🎉🎉❤❤❤❤❤
129,Fa2fBRhy1jM,🇮🇳🇮🇳🇮🇳
130,Fa2fBRhy1jM,Meme😢
131,Fa2fBRhy1jM,A
132,Fa2fBRhy1jM,I wish to get it 😢 helps for studies ❤
133,Fa2fBRhy1jM,Can I get a chance t
134,Fa2fBRhy1jM,yo soy de guatemala mrBeast ya estoy  suscrito
135,Fa2fBRhy1jM,Inshaallah I will get a Iphone❤
136,DBPYB8WkkDc,"Please make sure you have an email address on your profile!
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner! Make sure you check your email and check spam."
137,DBPYB8WkkDc,"Mrbeast I also want to get an iPhone, I have subscribed since 2022, hopefully I will get it"
138,DBPYB8WkkDc,The chance to get iPhone is 0.000000000000000000001%😅
139,DBPYB8WkkDc,Norengo tarjeta😢
140,DBPYB8WkkDc,Im
141,DBPYB8WkkDc,Amake din
142,DBPYB8WkkDc,1.000.000 missed calls from Samsung
143,DBPYB8WkkDc,Ami ki pabo
144,DBPYB8WkkDc,already subscribed😢
145,DBPYB8WkkDc,I’m subscribed  🪼
146,DBPYB8WkkDc,I REALLY NEED A NEW ONEEE
147,DBPYB8WkkDc,PLZZZZ
148,DBPYB8WkkDc,🎉🎉🎉🎉🎉❤❤❤❤❤
149,DBPYB8WkkDc,🇮🇳🇮🇳🇮🇳
